市場,区分,ブランド,型番,JAN,価格,価格の種類,成約件数,出品件数,平均売却日数,価格ばらつき,取得日
MERCARI,SELL,LOUIS VUITTON,M41526,,98000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,LOUIS VUITTON,M41526,,94080,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,LOUIS VUITTON,M41526,,91140,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,LOUIS VUITTON,M41526,,109760,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,LOUIS VUITTON,M41526,,127400,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,LOUIS VUITTON,M41526,,102900,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,LOUIS VUITTON,M41526,,70560,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,LOUIS VUITTON,M41526,,66640,出品,,26,,0.14,2026-08-20
MERCARI,SELL,GUCCI,446744,,148000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,GUCCI,446744,,142080,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,GUCCI,446744,,137640,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,GUCCI,446744,,165760,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,GUCCI,446744,,192400,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,GUCCI,446744,,155400,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,GUCCI,446744,,106560,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,GUCCI,446744,,100640,出品,,26,,0.14,2026-08-20
MERCARI,SELL,ROLEX,126234,,1180000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,ROLEX,126234,,1132800,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,ROLEX,126234,,1097400,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,ROLEX,126234,,1321600,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,ROLEX,126234,,1534000,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,ROLEX,126234,,1239000,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,ROLEX,126234,,849600,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,ROLEX,126234,,802400,出品,,26,,0.14,2026-08-20
MERCARI,SELL,LOUIS VUITTON,N60015,,62000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,LOUIS VUITTON,N60015,,59520,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,LOUIS VUITTON,N60015,,57660,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,LOUIS VUITTON,N60015,,69440,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,LOUIS VUITTON,N60015,,80600,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,LOUIS VUITTON,N60015,,65100,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,LOUIS VUITTON,N60015,,44640,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,LOUIS VUITTON,N60015,,42160,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CHANEL,A88429,,88000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CHANEL,A88429,,84480,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CHANEL,A88429,,81840,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CHANEL,A88429,,98560,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CHANEL,A88429,,114400,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CHANEL,A88429,,92400,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CHANEL,A88429,,63360,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CHANEL,A88429,,59840,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SHARP,RE-SS-2,,12500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SHARP,RE-SS-2,,12000,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SHARP,RE-SS-2,,11625,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SHARP,RE-SS-2,,14000,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SHARP,RE-SS-2,,16250,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SHARP,RE-SS-2,,13125,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SHARP,RE-SS-2,,9000,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SHARP,RE-SS-2,,8500,出品,,26,,0.14,2026-08-20
MERCARI,SELL,UNIQLO,DWN-01-10,,8700,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,UNIQLO,DWN-01-10,,8352,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,UNIQLO,DWN-01-10,,8091,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,UNIQLO,DWN-01-10,,9744,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,UNIQLO,DWN-01-10,,11310,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,UNIQLO,DWN-01-10,,9135,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,UNIQLO,DWN-01-10,,6264,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,UNIQLO,DWN-01-10,,5916,出品,,26,,0.14,2026-08-20
MERCARI,SELL,LENOVO,TB-J606-18,,16000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,LENOVO,TB-J606-18,,15360,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,LENOVO,TB-J606-18,,14880,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,LENOVO,TB-J606-18,,17920,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,LENOVO,TB-J606-18,,20800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,LENOVO,TB-J606-18,,16800,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,LENOVO,TB-J606-18,,11520,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,LENOVO,TB-J606-18,,10880,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NEC,PC-GN-26,,38000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NEC,PC-GN-26,,36480,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NEC,PC-GN-26,,35340,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NEC,PC-GN-26,,42560,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NEC,PC-GN-26,,49400,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NEC,PC-GN-26,,39900,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NEC,PC-GN-26,,27360,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NEC,PC-GN-26,,25840,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,OCW-S-34,,54000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,OCW-S-34,,51840,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,OCW-S-34,,50220,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,OCW-S-34,,60480,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,OCW-S-34,,70200,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,OCW-S-34,,56700,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,OCW-S-34,,38880,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,OCW-S-34,,36720,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SONY,CUH-2200-42,,20500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SONY,CUH-2200-42,,19680,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SONY,CUH-2200-42,,19065,成約,9,26,10,0.14,2026-08-20
