管理番号,商品名,ブランド,カテゴリ,型番,サイズ,カラー,ランク,仕入価格,相場,在庫,商品URL,相場出典,相場取得日
KMH-00001,ルイヴィトン モノグラム スピーディ30 ハンドバッグ,ルイヴィトン,バッグ,M41526,,ブラウン,Aランク,54610,98000,1,https://example.invalid/kmh/1,メルカリ売却済み中央値,2026-06-20
KMH-00002,ルイヴィトン モノグラム スピーディ30 ハンドバッグ,ルイヴィトン,バッグ,M41526,,ブラウン,Bランク,60000,98000,1,https://example.invalid/kmh/2,メルカリ売却済み中央値,2026-08-18
KMH-00003,ルイヴィトン モノグラム スピーディ30 ハンドバッグ,ルイヴィトン,バッグ,M41526,,ブラウン,ABランク,63920,98000,1,https://example.invalid/kmh/3,メルカリ売却済み中央値,2026-08-18
KMH-00004,シャネル マトラッセ チェーンショルダー 25,シャネル,バッグ,A01112,,ブラック,Sランク,448250,620000,1,https://example.invalid/kmh/4,メルカリ売却済み中央値,2026-08-18
KMH-00005,シャネル マトラッセ チェーンショルダー 25,シャネル,バッグ,A01112,,ブラック,Cランク,494750,620000,1,https://example.invalid/kmh/5,メルカリ売却済み中央値,2026-08-18
KMH-00006,シャネル マトラッセ チェーンショルダー 25,シャネル,バッグ,A01112,,ブラック,Aランク,531950,620000,1,https://example.invalid/kmh/6,メルカリ売却済み中央値,2026-06-20
KMH-00007,グッチ GGマーモント ミニバッグ,グッチ,バッグ,446744,,ブラック,Bランク,139350,148000,1,https://example.invalid/kmh/7,メルカリ売却済み中央値,2026-08-18
KMH-00008,グッチ GGマーモント ミニバッグ,グッチ,バッグ,446744,,ブラック,ABランク,91250,148000,1,https://example.invalid/kmh/8,メルカリ売却済み中央値,2026-08-18
KMH-00009,グッチ GGマーモント ミニバッグ,グッチ,バッグ,446744,,ブラック,Sランク,83110,148000,1,https://example.invalid/kmh/9,メルカリ売却済み中央値,2026-08-18
KMH-00010,エルメス ガーデンパーティ PM,エルメス,バッグ,GP-PM,,エトゥープ,Cランク,236250,380000,1,https://example.invalid/kmh/10,メルカリ売却済み中央値,2026-08-18
KMH-00011,エルメス ガーデンパーティ PM,エルメス,バッグ,GP-PM,,エトゥープ,Aランク,251450,380000,1,https://example.invalid/kmh/11,メルカリ売却済み中央値,2026-06-20
