"商品名","ASIN","仕入先","仕入価格","Amazon現在価格","30日平均価格","90日平均価格","SalesRank","推定月販","出品者数","Amazon本体","BuyBox","MATCH_SCORE","DATA_FRESHNESS","CONFIDENCE","LANDED_COST","想定広告費","想定純利益","利益率","ROI","推奨仕入数量","ResearchScore","ランク","判定理由","異常検知","UNKNOWN項目"
"車載ホルダー マグネット スマホホルダー 車 エアコン吹き出し口 アルミ ブラック","B0SAMPLE003","東莞車載用品工場","242円","2,480円","不明","不明","2,600","340個","5","なし","不明","96点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","71点","372円","248円","997円","40.2%","268.0%","27個","87点","D","輸入手続きが必要で今のままでは販売できません（食品衛生法）","なし","(なし)"
"LEDランタン 折りたたみ USB充電式 300ルーメン 防水 キャンプ ブラック","B0SAMPLE005","寧波アウトドア製造","483円","3,480円","不明","不明","6,900","95個","8","なし","不明","93点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","70点","726円","348円","1,549円","44.5%","213.4%","10個","80点","D","輸入手続きが必要で今のままでは販売できません（PSEマーク）","なし","(なし)"
"製氷皿 シリコン フタ付き 24個取り 2個セット 冷凍 グレー","B0SAMPLE009","台州家庭用品","160円","1,680円","不明","不明","13,400","11個","2","なし","不明","94点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","76点","276円","168円","502円","29.9%","181.9%","20個","79点","D","輸入手続きが必要で今のままでは販売できません（食品衛生法）","なし","(なし)"
"衣類圧縮袋 6枚セット ポンプ付き 70×50cm 掃除機不要 収納","B0SAMPLE007","青島包装材工場","277円","2,680円","不明","不明","5,400","180個","9","なし","不明","91点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","75点","442円","268円","1,073円","40.0%","242.8%","20個","78点","A","需要・利益・商品一致のすべてを満たしています","なし","(なし)"
"ペット ブラシ 抜け毛取り 犬 猫 兼用 ステンレス 幅9cm ブルー","B0SAMPLE002","義烏ペット用品商社","206円","1,780円","不明","不明","4,100","210個","6","なし","不明","93点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","75点","339円","178円","512円","28.8%","151.0%","20個","77点","A","需要・利益・商品一致のすべてを満たしています","なし","(なし)"
"メガネ拭き クロス マイクロファイバー 15×15cm 10枚セット アソート","B0SAMPLE004","寧波繊維雑貨","86円","980円","不明","不明","15,800","10個","2","なし","不明","91点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","80点","138円","98円","446円","45.5%","340.5%","50個","77点","C","今は条件を満たしませんが、値動き次第で候補になります / 採算基準に届いていません（利益439円 / 率45% / ROI318%）","なし","(なし)"
"排水口カバー シリコン 防臭 2枚組 直径11cm グレー os-cover","B0SAMPLE001","深圳日用品工場A","130円","1,280円","不明","不明","8,200","16個","3","なし","不明","94点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","81点","240円","128円","495円","38.7%","212.4%","10個","76点","C","今は条件を満たしませんが、値動き次第で候補になります / 採算基準に届いていません（利益488円 / 率38% / ROI203%）","なし","(なし)"
"モバイルバッテリー 10000mAh PD20W 小型 軽量 急速充電 ブラック","B0SAMPLE014","深圳電池工場","672円","3,480円","不明","不明","1,200","900個","11","なし","不明","94点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","71点","1,035円","348円","1,549円","44.5%","149.7%","30個","75点","D","輸入手続きが必要で今のままでは販売できません（PSEマーク）","なし","(なし)"
"すべらないハンガー 30本セット 42cm 薄型 PVCコーティング ブラック","B0SAMPLE018","広東樹脂製品","546円","3,980円","不明","不明","1,500","380個","7","なし","不明","93点/high","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","75点","879円","398円","845円","21.2%","96.1%","28個","75点","A","需要・利益・商品一致のすべてを満たしています","なし","(なし)"
"包丁研ぎ器 3段階 シャープナー 吸盤付き セラミック ホワイト","B0SAMPLE006","陽江刃物工場","176円","1,980円","不明","不明","11,200","13個","4","なし","不明","89点/needs_human","価格 1分前 / Sales Rank 1分前 / 仕入価格 1分前(0時間前)","72点","318円","198円","691円","34.9%","223.6%","20個","73点","B","商品一致の確認が済めばAランク候補です / 同一商品かどうか、人の目での確認が必要です","なし","(なし)"
