管理番号,商品名,JANコード,型番,仕入れ先,仕入れURL,仕入れ価格,在庫数,販売先,販売価格,販売手数料,送料,その他費用,過去1ヶ月販売数,競合数,禁止商品リスク
A001,ワイヤレスイヤホン Bluetooth5.3,4901234567890,WE-300,問屋A,https://example.com/items/we-300,2000,15,メルカリ,4500,450,300,50,12,8,なし
A002,ステンレスタンブラー 真空断熱 480ml,4901234567891,TB-480,問屋B,https://example.com/items/tb-480,800,40,Amazon,2200,330,250,30,25,15,なし
A003,LEDデスクライト 調光調色,4901234567892,DL-100,問屋A,https://example.com/items/dl-100,1500,0,ヤフオク,3200,320,400,40,5,10,なし
A004,キャラクター フィギュア 限定版,4901234567893,FG-777,問屋C,https://example.com/items/fg-777,3000,5,メルカリ,3500,350,500,60,3,30,なし
A005,栄養サプリメント ビタミンC,4901234567894,SP-VC,問屋D,https://example.com/items/sp-vc,500,20,メルカリ,1500,150,200,20,8,5,なし
A006,折りたたみ傘 自動開閉 大きめ,4901234567895,UM-60,問屋B,https://example.com/items/um-60,900,30,Amazon,2600,390,300,30,18,12,なし
A007,モバイルバッテリー 10000mAh,4901234567896,MB-10,問屋A,https://example.com/items/mb-10,1200,25,メルカリ,2800,280,350,40,0,20,なし
A008,キッチン用 計量スプーンセット,4901234567897,KS-05,問屋B,https://example.com/items/ks-05,300,50,メルカリ,900,90,200,15,9,7,なし
A009,アウトドア用 折りたたみチェア,4901234567898,CH-200,問屋C,https://example.com/items/ch-200,2500,8,Amazon,3000,450,600,80,6,18,なし
A010,ブランド風 レプリカ 腕時計,4901234567899,WT-FAKE,問屋E,https://example.com/items/wt-fake,1000,10,メルカリ,5000,500,300,50,4,40,あり
