商品ID,タイトル,メーカー,分類,品番,JANコード,状態,仕入値,市場価格,在庫数,リンク,相場ソース,相場日時
BKO-00343,Nintendo Switch 有機ELモデル ホワイト,任天堂,ゲーム機,HEG-S-KAAAA,4902370548495,新品,20410,38000,12,https://example.invalid/bko/343,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00344,Nintendo Switch 有機ELモデル ホワイト,任天堂,ゲーム機,HEG-S-KAAAA,4902370548495,未使用に近い,22500,38000,6,https://example.invalid/bko/344,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00345,Nintendo Switch 有機ELモデル ホワイト,任天堂,ゲーム機,HEG-S-KAAAA,4902370548495,目立った傷や汚れなし,24020,38000,1,https://example.invalid/bko/345,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00346,Nintendo Switch 有機ELモデル ホワイト,任天堂,ゲーム機,HEG-S-KAAAA,4902370548495,やや傷や汚れあり,20410,38000,1,https://example.invalid/bko/346,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00347,PlayStation 5 デジタルエディション,ソニー,ゲーム機,CFI-2000B01,4948872416283,傷や汚れあり,43700,62000,12,https://example.invalid/bko/347,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00348,PlayStation 5 デジタルエディション,ソニー,ゲーム機,CFI-2000B01,4948872416283,新品,48350,62000,6,https://example.invalid/bko/348,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00349,PlayStation 5 デジタルエディション,ソニー,ゲーム機,CFI-2000B01,4948872416283,未使用に近い,57650,62000,1,https://example.invalid/bko/349,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00350,PlayStation 5 デジタルエディション,ソニー,ゲーム機,CFI-2000B01,4948872416283,目立った傷や汚れなし,34090,62000,1,https://example.invalid/bko/350,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00351,ソニー ワイヤレスヘッドホン WH-1000XM5,ソニー,オーディオ,WH-1000XM5,4548736133235,やや傷や汚れあり,25000,42000,12,https://example.invalid/bko/351,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00352,ソニー ワイヤレスヘッドホン WH-1000XM5,ソニー,オーディオ,WH-1000XM5,4548736133235,傷や汚れあり,26680,42000,6,https://example.invalid/bko/352,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00353,ソニー ワイヤレスヘッドホン WH-1000XM5,ソニー,オーディオ,WH-1000XM5,4548736133235,新品,22690,42000,1,https://example.invalid/bko/353,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00354,ソニー ワイヤレスヘッドホン WH-1000XM5,ソニー,オーディオ,WH-1000XM5,4548736133235,未使用に近い,29200,42000,1,https://example.invalid/bko/354,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00355,Apple AirPods Pro 第2世代,アップル,オーディオ,MTJV3J/A,4549995402452,目立った傷や汚れなし,25150,33000,12,https://example.invalid/bko/355,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00356,Apple AirPods Pro 第2世代,アップル,オーディオ,MTJV3J/A,4549995402452,やや傷や汚れあり,30100,33000,6,https://example.invalid/bko/356,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00357,Apple AirPods Pro 第2世代,アップル,オーディオ,MTJV3J/A,4549995402452,傷や汚れあり,17560,33000,1,https://example.invalid/bko/357,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00358,Apple AirPods Pro 第2世代,アップル,オーディオ,MTJV3J/A,4549995402452,新品,19375,33000,1,https://example.invalid/bko/358,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00359,キヤノン EOS Kiss X10 ダブルズームキット,キヤノン,カメラ,EOSKISSX10,4549292131857,未使用に近い,50620,78000,12,https://example.invalid/bko/359,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00360,キヤノン EOS Kiss X10 ダブルズームキット,キヤノン,カメラ,EOSKISSX10,4549292131857,目立った傷や汚れなし,43210,78000,6,https://example.invalid/bko/360,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00361,キヤノン EOS Kiss X10 ダブルズームキット,キヤノン,カメラ,EOSKISSX10,4549292131857,やや傷や汚れあり,55300,78000,1,https://example.invalid/bko/361,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00362,キヤノン EOS Kiss X10 ダブルズームキット,キヤノン,カメラ,EOSKISSX10,4549292131857,傷や汚れあり,61150,78000,1,https://example.invalid/bko/362,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00363,ニコン Z fc ボディ,ニコン,カメラ,ZFC,4960759905499,新品,89950,96000,12,https://example.invalid/bko/363,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00364,ニコン Z fc ボディ,ニコン,カメラ,ZFC,4960759905499,未使用に近い,53470,96000,6,https://example.invalid/bko/364,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00365,ニコン Z fc ボディ,ニコン,カメラ,ZFC,4960759905499,目立った傷や汚れなし,58750,96000,1,https://example.invalid/bko/365,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00366,ニコン Z fc ボディ,ニコン,カメラ,ZFC,4960759905499,やや傷や汚れあり,62590,96000,1,https://example.invalid/bko/366,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00367,ゼルダの伝説 ティアーズ オブ ザ キングダム,任天堂,ゲームソフト,HAC-P-AWXPA,4902370548501,傷や汚れあり,2284,6200,12,https://example.invalid/bko/367,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00368,ゼルダの伝説 ティアーズ オブ ザ キングダム,任天堂,ゲームソフト,HAC-P-AWXPA,4902370548501,新品,3245,6200,6,https://example.invalid/bko/368,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00369,ゼルダの伝説 ティアーズ オブ ザ キングダム,任天堂,ゲームソフト,HAC-P-AWXPA,4902370548501,未使用に近い,3710,6200,1,https://example.invalid/bko/369,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00370,ゼルダの伝説 ティアーズ オブ ザ キングダム,任天堂,ゲームソフト,HAC-P-AWXPA,4902370548501,目立った傷や汚れなし,4640,6200,1,https://example.invalid/bko/370,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00371,ポケットモンスター スカーレット,任天堂,ゲームソフト,HAC-P-AXQEA,4902370550733,やや傷や汚れあり,1714,5200,12,https://example.invalid/bko/371,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00372,ポケットモンスター スカーレット,任天堂,ゲームソフト,HAC-P-AXQEA,4902370550733,傷や汚れあり,2000,5200,6,https://example.invalid/bko/372,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00373,ポケットモンスター スカーレット,任天堂,ゲームソフト,HAC-P-AXQEA,4902370550733,新品,2208,5200,1,https://example.invalid/bko/373,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00374,ポケットモンスター スカーレット,任天堂,ゲームソフト,HAC-P-AXQEA,4902370550733,未使用に近い,1714,5200,1,https://example.invalid/bko/374,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00375,ソニー ブラビア 55型 液晶テレビ,ソニー,テレビ,KJ-55X80L,4548736142886,目立った傷や汚れなし,84300,118000,12,https://example.invalid/bko/375,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00376,ソニー ブラビア 55型 液晶テレビ,ソニー,テレビ,KJ-55X80L,4548736142886,やや傷や汚れあり,93150,118000,6,https://example.invalid/bko/376,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00377,ソニー ブラビア 55型 液晶テレビ,ソニー,テレビ,KJ-55X80L,4548736142886,傷や汚れあり,110850,118000,1,https://example.invalid/bko/377,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00378,ソニー ブラビア 55型 液晶テレビ,ソニー,テレビ,KJ-55X80L,4548736142886,新品,66010,118000,1,https://example.invalid/bko/378,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00379,アップル iPad 第10世代 64GB Wi-Fi,アップル,タブレット,MPQ03J/A,4549995362268,未使用に近い,27500,46000,12,https://example.invalid/bko/379,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00380,アップル iPad 第10世代 64GB Wi-Fi,アップル,タブレット,MPQ03J/A,4549995362268,目立った傷や汚れなし,29340,46000,6,https://example.invalid/bko/380,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00381,アップル iPad 第10世代 64GB Wi-Fi,アップル,タブレット,MPQ03J/A,4549995362268,やや傷や汚れあり,24970,46000,1,https://example.invalid/bko/381,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00382,アップル iPad 第10世代 64GB Wi-Fi,アップル,タブレット,MPQ03J/A,4549995362268,傷や汚れあり,32100,46000,1,https://example.invalid/bko/382,Amazon/メルカリ 直近30日中央値,2026-08-18
BKO-00383,文庫本まとめ 20冊セット,,本,,,やや傷や汚れあり,14750,20000,1,https://example.invalid/bko/383,メルカリ 直近30日中央値,2026-08-18
BKO-00384,コミック全巻セット 中古,,本,,,傷や汚れあり,10750,15000,1,https://example.invalid/bko/384,メルカリ 直近30日中央値,2026-08-18
BKO-00385,型番不明 ジャンクプリンタ,,その他,,,やや傷や汚れあり,3000,,1,https://example.invalid/bko/385,,
BKO-00386,中古 ノートパソコン 15型 #1,NEC,家電,PC-GN-1,4900000000000,新品,25950,34000,4,https://example.invalid/bko/386,相場サイト 直近30日中央値,2026-08-18
BKO-00387,中古 電子レンジ #2,SHARP,生活家電,RE-SS-2,,未使用に近い,9500,12500,1,https://example.invalid/bko/387,,
BKO-00388,中古 掃除機 コードレス #3,DYSON,生活家電,V8-3,,目立った傷や汚れなし,19650,22000,1,https://example.invalid/bko/388,,
BKO-00389,中古 炊飯器 5.5合 #4,ZOJIRUSHI,生活家電,NP-BK-4,4900000000003,やや傷や汚れあり,11950,16500,1,https://example.invalid/bko/389,,
BKO-00390,中古 液晶モニタ 24型 #5,IODATA,家電,LCD-MF-5,,傷や汚れあり,11100,13000,1,https://example.invalid/bko/390,相場サイト 直近30日中央値,2026-08-18
BKO-00391,中古 コンパクトデジタルカメラ #6,CANON,カメラ,IXY650-6,,新品,12080,15500,1,https://example.invalid/bko/391,,
BKO-00392,中古 ミラーレス標準ズームレンズ #7,NIKON,カメラ,NIKKOR-Z-7,4900000000006,未使用に近い,23550,31000,1,https://example.invalid/bko/392,,
BKO-00393,中古 ブルートゥーススピーカー #8,JBL,オーディオ,FLIP6-8,,目立った傷や汚れなし,10625,12500,1,https://example.invalid/bko/393,,
BKO-00394,中古 腕時計 ソーラー電波 #9,CASIO,時計,OCW-S-9,,やや傷や汚れあり,41750,50000,1,https://example.invalid/bko/394,相場サイト 直近30日中央値,2026-08-18
BKO-00395,中古 ダウンジャケット #10,UNIQLO,アパレル,DWN-01-10,4900000000009,傷や汚れあり,5710,8700,4,https://example.invalid/bko/395,,
BKO-00396,中古 ランニングシューズ #11,ASICS,スニーカー,GEL-KAYANO-11,,新品,11670,13600,1,https://example.invalid/bko/396,,
BKO-00397,中古 ビジネスバッグ 本革 #12,PORTER,バッグ,PT-BIZ-12,,未使用に近い,18960,23500,1,https://example.invalid/bko/397,,
BKO-00398,中古 二つ折り財布 #13,COACH,財布,CH-W2-13,4900000000012,目立った傷や汚れなし,10205,15800,1,https://example.invalid/bko/398,相場サイト 直近30日中央値,2026-08-18
BKO-00399,中古 アコースティックギター #14,YAMAHA,楽器,FG830-14,,やや傷や汚れあり,29625,32500,1,https://example.invalid/bko/399,,
BKO-00400,中古 キーボード 61鍵 #15,CASIO,楽器,CT-S300-15,,傷や汚れあり,15550,21000,1,https://example.invalid/bko/400,,
BKO-00401,中古 ゲームソフト 人気タイトル #16,NINTENDO,ゲームソフト,HAC-GEN-16,4900000000015,新品,6265,11300,1,https://example.invalid/bko/401,,
BKO-00402,中古 家庭用ゲーム機 旧型 #17,SONY,ゲーム機,CUH-2200-17,,未使用に近い,20250,25000,1,https://example.invalid/bko/402,相場サイト 直近30日中央値,2026-08-18
BKO-00403,中古 タブレット 10型 #18,LENOVO,タブレット,TB-J606-18,,目立った傷や汚れなし,13950,16000,1,https://example.invalid/bko/403,,
BKO-00404,中古 スマートウォッチ #19,GARMIN,時計,FR-255-19,4900000000018,やや傷や汚れあり,18350,24500,4,https://example.invalid/bko/404,,
BKO-00405,中古 空気清浄機 #20,PANASONIC,生活家電,F-VXR-20,,傷や汚れあり,17750,20000,1,https://example.invalid/bko/405,,
BKO-00406,中古 コーヒーメーカー #21,DELONGHI,生活家電,ECAM-21,,新品,25550,33500,1,https://example.invalid/bko/406,相場サイト 直近30日中央値,2026-08-18
BKO-00407,中古 電動アシスト自転車 バッテリー #22,YAMAHA,その他,X0T-82-22,4900000000021,未使用に近い,19390,24000,1,https://example.invalid/bko/407,,
BKO-00408,中古 プロジェクター 小型 #23,EPSON,家電,EF-12-23,,目立った傷や汚れなし,40075,43500,1,https://example.invalid/bko/408,,
BKO-00409,中古 マイク コンデンサー #24,AUDIOTECHNICA,オーディオ,AT2020-24,,やや傷や汚れあり,8190,11800,1,https://example.invalid/bko/409,,
BKO-00410,中古 トートバッグ ナイロン #25,PRADA,バッグ,BR4001-25,4900000000024,傷や汚れあり,51475,55500,1,https://example.invalid/bko/410,相場サイト 直近30日中央値,2026-08-18
BKO-00411,中古 ノートパソコン 15型 #26,NEC,家電,PC-GN-26,,新品,31430,38000,1,https://example.invalid/bko/411,,
BKO-00412,中古 電子レンジ #27,SHARP,生活家電,RE-SS-27,,未使用に近い,11950,16500,1,https://example.invalid/bko/412,,
BKO-00413,中古 掃除機 コードレス #28,DYSON,生活家電,V8-28,4900000000027,目立った傷や汚れなし,23450,26000,4,https://example.invalid/bko/413,,
BKO-00414,中古 炊飯器 5.5合 #29,ZOJIRUSHI,生活家電,NP-BK-29,,やや傷や汚れあり,16380,20500,1,https://example.invalid/bko/414,相場サイト 直近30日中央値,2026-08-18
BKO-00415,中古 液晶モニタ 24型 #30,IODATA,家電,LCD-MF-30,,傷や汚れあり,12350,17000,1,https://example.invalid/bko/415,,
BKO-00416,中古 コンパクトデジタルカメラ #31,CANON,カメラ,IXY650-31,4900000000030,新品,17275,19500,1,https://example.invalid/bko/416,,
BKO-00417,中古 ミラーレス標準ズームレンズ #32,NIKON,カメラ,NIKKOR-Z-32,,未使用に近い,28850,35000,1,https://example.invalid/bko/417,,
BKO-00418,中古 ブルートゥーススピーカー #33,JBL,オーディオ,FLIP6-33,,目立った傷や汚れなし,10713,16500,1,https://example.invalid/bko/418,相場サイト 直近30日中央値,2026-08-18
BKO-00419,中古 腕時計 ソーラー電波 #34,CASIO,時計,OCW-S-34,4900000000033,やや傷や汚れあり,50050,54000,1,https://example.invalid/bko/419,,
BKO-00420,中古 ダウンジャケット #35,UNIQLO,アパレル,DWN-01-35,,傷や汚れあり,2110,4200,1,https://example.invalid/bko/420,,
BKO-00421,中古 ランニングシューズ #36,ASICS,スニーカー,GEL-KAYANO-36,,新品,4802,9100,1,https://example.invalid/bko/421,,
BKO-00422,中古 ビジネスバッグ 本革 #37,PORTER,バッグ,PT-BIZ-37,4900000000036,未使用に近い,15090,19000,4,https://example.invalid/bko/422,相場サイト 直近30日中央値,2026-08-18
BKO-00423,中古 二つ折り財布 #38,COACH,財布,CH-W2-38,,目立った傷や汚れなし,9485,11300,1,https://example.invalid/bko/423,,
BKO-00424,中古 アコースティックギター #39,YAMAHA,楽器,FG830-39,,やや傷や汚れあり,21150,28000,1,https://example.invalid/bko/424,,
BKO-00425,中古 キーボード 61鍵 #40,CASIO,楽器,CT-S300-40,4900000000039,傷や汚れあり,14425,16500,1,https://example.invalid/bko/425,,
BKO-00426,中古 ゲームソフト 人気タイトル #41,NINTENDO,ゲームソフト,HAC-GEN-41,,新品,4190,6800,1,https://example.invalid/bko/426,相場サイト 直近30日中央値,2026-08-18
BKO-00427,中古 家庭用ゲーム機 旧型 #42,SONY,ゲーム機,CUH-2200-42,,未使用に近い,16380,20500,1,https://example.invalid/bko/427,,
BKO-00428,中古 タブレット 10型 #43,LENOVO,タブレット,TB-J606-43,4900000000042,目立った傷や汚れなし,17750,20000,1,https://example.invalid/bko/428,,
