市場,区分,ブランド,型番,JAN,価格,価格の種類,成約件数,出品件数,平均売却日数,価格ばらつき,取得日,取得元
MERCARI,SELL,SONY,CFI-2000B01,4948872416283,64617,成約,20,40,5,0.1,2026-09-18,CSV_MANUAL
MERCARI,SELL,APPLE,MTJV3J/A,4549995402452,28521,成約,9,18,12,0.1,2026-09-18,CSV_MANUAL
AMAZON,SELL,APPLE,MTJV3J/A,4549995402452,35903,成約,8,16,42,0.1,2026-09-18,CSV_MANUAL
MERCARI,SELL,NIKON,ZFC,4960759905499,93579,成約,5,10,53,0.1,2026-09-18,CSV_MANUAL
AMAZON,SELL,NIKON,ZFC,4960759905499,92835,成約,11,22,33,0.1,2026-09-18,CSV_MANUAL
AMAZON,SELL,APPLE,MPQ03J/A,4549995362268,52013,成約,1,2,34,0.1,2026-09-18,CSV_MANUAL
MERCARI,SELL,APPLE,MPQ03J/A,4549995362268,40413,成約,4,8,45,0.1,2026-09-18,CSV_MANUAL
AMAZON,SELL,YAMAHA,PAC612VIIFM,,85649,成約,9,18,75,0.1,2026-09-18,CSV_MANUAL
MERCARI,SELL,YAMAHA,PAC612VIIFM,,79213,成約,19,38,32,0.1,2026-09-18,CSV_MANUAL
MERCARI,SELL,DENON,PMA-600NE,,45327,成約,14,28,52,0.1,2026-09-18,CSV_MANUAL
