id,name,brand,category,model,size,condition,cost,market_price,stock,url,market_price_source,market_fetched_at
HDO-00686,YAMAHA エレキギター PACIFICA 612,YAMAHA,楽器,PAC612VIIFM,,A,50000,82000,1,https://example.invalid/hdo/686,スニダン直近取引,2026-08-19
HDO-00687,YAMAHA エレキギター PACIFICA 612,YAMAHA,楽器,PAC612VIIFM,,B,53280,82000,1,https://example.invalid/hdo/687,,
HDO-00688,YAMAHA エレキギター PACIFICA 612,YAMAHA,楽器,PAC612VIIFM,,C,45490,82000,1,https://example.invalid/hdo/688,,
HDO-00689,YAMAHA エレキギター PACIFICA 612,YAMAHA,楽器,PAC612VIIFM,,ジャンク,58200,82000,1,https://example.invalid/hdo/689,スニダン直近取引,2026-08-19
HDO-00690,Roland 電子ドラム TD-17KVX,ROLAND,楽器,TD-17KVX,,S,143230,168000,1,https://example.invalid/hdo/690,,
HDO-00691,Roland 電子ドラム TD-17KVX,ROLAND,楽器,TD-17KVX,,A,158350,168000,1,https://example.invalid/hdo/691,,
HDO-00692,Roland 電子ドラム TD-17KVX,ROLAND,楽器,TD-17KVX,,B,103750,168000,1,https://example.invalid/hdo/692,スニダン直近取引,2026-08-19
HDO-00693,Roland 電子ドラム TD-17KVX,ROLAND,楽器,TD-17KVX,,C,110470,168000,1,https://example.invalid/hdo/693,,
HDO-00694,DENON プリメインアンプ PMA-600NE,DENON,オーディオ,PMA-600NE,,ジャンク,26110,48000,1,https://example.invalid/hdo/694,,
HDO-00695,DENON プリメインアンプ PMA-600NE,DENON,オーディオ,PMA-600NE,,S,33550,48000,1,https://example.invalid/hdo/695,スニダン直近取引,2026-08-19
HDO-00696,DENON プリメインアンプ PMA-600NE,DENON,オーディオ,PMA-600NE,,A,40030,48000,1,https://example.invalid/hdo/696,,
HDO-00697,DENON プリメインアンプ PMA-600NE,DENON,オーディオ,PMA-600NE,,B,44350,48000,1,https://example.invalid/hdo/697,,
HDO-00698,THE NORTH FACE ヌプシ ダウンジャケット,ノースフェイス,アパレル,ND92335,L,C,20000,34000,1,https://example.invalid/hdo/698,スニダン直近取引,2026-08-19
HDO-00699,THE NORTH FACE ヌプシ ダウンジャケット,ノースフェイス,アパレル,ND92335,L,ジャンク,21360,34000,1,https://example.invalid/hdo/699,,
HDO-00700,THE NORTH FACE ヌプシ ダウンジャケット,ノースフェイス,アパレル,ND92335,L,S,18130,34000,1,https://example.invalid/hdo/700,,
HDO-00701,THE NORTH FACE ヌプシ ダウンジャケット,ノースフェイス,アパレル,ND92335,L,A,23400,34000,1,https://example.invalid/hdo/701,スニダン直近取引,2026-08-19
HDO-00702,NIKE エアジョーダン1 レトロ ハイ OG,ナイキ,スニーカー,555088-063,27.0,B,34870,42000,1,https://example.invalid/hdo/702,,
HDO-00703,NIKE エアジョーダン1 レトロ ハイ OG,ナイキ,スニーカー,555088-063,27.0,C,38650,42000,1,https://example.invalid/hdo/703,,
HDO-00704,NIKE エアジョーダン1 レトロ ハイ OG,ナイキ,スニーカー,555088-063,27.0,ジャンク,25000,42000,1,https://example.invalid/hdo/704,スニダン直近取引,2026-08-19
HDO-00705,NIKE エアジョーダン1 レトロ ハイ OG,ナイキ,スニーカー,555088-063,27.0,S,26680,42000,1,https://example.invalid/hdo/705,,
